Pata;Segmento;x (m);y (m);z (m);Distancia siguiente (m)
FR;FR_hip_motor;0.081714;0.256799;0.483046;0.053565
FR;FR_upper_leg;0.135279;0.256799;0.483046;0.253082
FR;FR_lower_leg;0.114589;0.111113;0.277138;0.250966
FR;toeFR;0.114589;0.079808;0.028132;N/A
FR;Chasis->FR_hip_motor;-;-;-;0.217293
FL;FL_hip_motor;-0.081715;0.256799;0.483069;0.055855
FL;FL_upper_leg;-0.137570;0.256799;0.483069;0.253082
FL;FL_lower_leg;-0.116880;0.111094;0.277175;0.250966
FL;toeFL;-0.116880;0.079805;0.028167;N/A
FL;Chasis->FL_hip_motor;-;-;-;0.217293
RR;RR_hip_motor;0.081713;-0.180480;0.486186;0.053565
RR;RR_upper_leg;0.135278;-0.180480;0.486179;0.253082
RR;RR_lower_leg;0.114560;-0.323899;0.278689;0.250966
RR;toeRR;0.114527;-0.353863;0.029518;N/A
RR;Chasis->RR_hip_motor;-;-;-;0.253602
RL;RL_hip_motor;-0.081716;-0.180480;0.486209;0.055855
RL;RL_upper_leg;-0.137571;-0.180480;0.486205;0.253082
RL;RL_lower_leg;-0.116867;-0.324019;0.278797;0.250966
RL;toeRL;-0.116851;-0.354448;0.029682;N/A
RL;Chasis->RL_hip_motor;-;-;-;0.253602
